name,ticker,isin,productType,currency
StSt SPDR S&P 500 UCITS ETF Dist,SPY5,IE00B6YX5C33,ETF,CHF
StSt SPDR S&P 500 UCITS ETF Dist,SPY5,IE00B6YX5C33,ETF,EUR
StSt SPDR S&P U.S. Div Aristocrats UCITS ETF Dist,SPYD,IE00B6YX5D40,ETF,EUR
StSt SPDR S&P U.S. Div Aristocrats UCITS ETF Dist,SPYD,IE00B6YX5D40,ETF,EUR
StSt SPDR S&P U.S. Div Aristocrats UCITS ETF Dist,USDV,IE00B6YX5D40,ETF,CHF
StSt SPDR S&P U.S. Div Aristocrats UCITS ETF Dist,UDVD,IE00B6YX5D40,ETF,USD
StSt SPDR S&P U.S. Div Aristocrats UCITS ETF Dist,USDV,IE00B6YX5D40,ETF,GBP
StSt SPDR S&P U.S. Div Aristocrats UCITS ETF Dist,USDV,IE00B6YX5D40,ETF,EUR
StSt SPDR S&P U.S. Energy Sel Sector UCITS ETF Acc,ZPDE,IE00BWBXM492,ETF,EUR
StSt SPDR S&P U.S. Energy Sel Sector UCITS ETF Acc,ZPDE,IE00BWBXM492,ETF,EUR
StSt SPDR S&P U.S. Energy Sel Sector UCITS ETF Acc,SXLE,IE00BWBXM492,ETF,USD
StSt SPDR S&P U.S. Energy Sel Sector UCITS ETF Acc,SXLE,IE00BWBXM492,ETF,EUR
StSt SPDR S&P U.S. Energy Sel Sector UCITS ETF Acc,SXLE,IE00BWBXM492,ETF,USD
StSt SPDR S&P U.S. Energy Sel Sector UCITS ETF Acc,SXLE,IE00BWBXM492,ETF,EUR
StSt SPDR S&P US Com Ser Sel Sector UCITS ETF Acc,SXLC,IE00BFWFPX50,ETF,EUR
StSt SPDR S&P US Con Dis Sel Sector UCITS ETF Acc,ZPDD,IE00BWBXM278,ETF,EUR
StSt SPDR S&P US Con Dis Sel Sector UCITS ETF Acc,ZPDD,IE00BWBXM278,ETF,EUR
StSt SPDR S&P US Con Dis Sel Sector UCITS ETF Acc,SXLY,IE00BWBXM278,ETF,EUR
StSt SPDR S&P US Con Dis Sel Sector UCITS ETF Acc,SXLY,IE00BWBXM278,ETF,USD
StSt SPDR S&P US Con Dis Sel Sector UCITS ETF Acc,SXLY,IE00BWBXM278,ETF,EUR
StSt SPDR S&P US Con Dis Sel Sector UCITS ETF Acc,SXLY,IE00BWBXM278,ETF,USD
StSt SPDR S&P US Con St Sel Sector UCITS ETF Acc,ZPDS,IE00BWBXM385,ETF,EUR
StSt SPDR S&P US Con St Sel Sector UCITS ETF Acc,SXLP,IE00BWBXM385,ETF,EUR
StSt SPDR S&P US Con St Sel Sector UCITS ETF Acc,SXLP,IE00BWBXM385,ETF,USD
StSt SPDR S&P US Con St Sel Sector UCITS ETF Acc,SXLP,IE00BWBXM385,ETF,EUR
StSt SPDR S&P US Con St Sel Sector UCITS ETF Acc,SXLP,IE00BWBXM385,ETF,USD
StSt SPDR S&P US Financials Sel Sctr UCITS ETF Acc,ZPDF,IE00BWBXM500,ETF,EUR
StSt SPDR S&P US Financials Sel Sctr UCITS ETF Acc,ZPDF,IE00BWBXM500,ETF,EUR
StSt SPDR S&P US Financials Sel Sctr UCITS ETF Acc,SXLF,IE00BWBXM500,ETF,EUR
StSt SPDR S&P US Financials Sel Sctr UCITS ETF Acc,SXLF,IE00BWBXM500,ETF,USD
StSt SPDR S&P US Financials Sel Sctr UCITS ETF Acc,SXLF,IE00BWBXM500,ETF,EUR
StSt SPDR S&P US Financials Sel Sctr UCITS ETF Acc,SXLF,IE00BWBXM500,ETF,USD
StSt SPDR S&P US Health Cr Sel Sctr UCITS ETF Acc,ZPDH,IE00BWBXM617,ETF,EUR
StSt SPDR S&P US Health Cr Sel Sctr UCITS ETF Acc,ZPDH,IE00BWBXM617,ETF,EUR
StSt SPDR S&P US Health Cr Sel Sctr UCITS ETF Acc,SXLV,IE00BWBXM617,ETF,EUR
StSt SPDR S&P US Health Cr Sel Sctr UCITS ETF Acc,SXLV,IE00BWBXM617,ETF,USD
StSt SPDR S&P US Health Cr Sel Sctr UCITS ETF Acc,SXLV,IE00BWBXM617,ETF,EUR
StSt SPDR S&P US Health Cr Sel Sctr UCITS ETF Acc,SXLV,IE00BWBXM617,ETF,USD
StSt SPDR S&P US Industs Sel Sctr UCITS ETF Acc,ZPDI,IE00BWBXM724,ETF,EUR
StSt SPDR S&P US Industs Sel Sctr UCITS ETF Acc,SXLI,IE00BWBXM724,ETF,EUR
StSt SPDR S&P US Industs Sel Sctr UCITS ETF Acc,SXLI,IE00BWBXM724,ETF,USD
Xtrackers MSCI Japan UCITS 1C ETF,DBXJ,LU0274209740,ETF,EUR
Xtrackers MSCI Japan UCITS 4C EUR Hedged ETF,XMK9,LU0659580079,ETF,EUR
Xtrackers MSCI Japan UCITS 4C EUR Hedged ETF,XMK9,LU0659580079,ETF,EUR
Xtrackers MSCI Japan UCITS 4C EUR Hedged ETF,XMK9,LU0659580079,ETF,EUR
Xtrackers MSCI Japan UCITS ETF 2D HUSD,XMUJ,LU0927735406,ETF,USD
Xtrackers MSCI Japan UCITS ETF 2D HUSD,XMUJ,LU0927735406,ETF,USD
Xtrackers MSCI Japan UCITS ETF 7C HCHF,XMCJ,LU1215827756,ETF,CHF
Xtrackers MSCI Korea UCITS 1C ETF,DBX8,LU0292100046,ETF,EUR
Xtrackers MSCI Korea UCITS 1C ETF,XKS2,LU0292100046,ETF,GBX
Xtrackers MSCI Korea UCITS 1C ETF,XKSD,LU0292100046,ETF,USD
Xtrackers MSCI Korea UCITS 1C ETF,DBX8,LU0292100046,ETF,EUR
Xtrackers MSCI Korea UCITS 1C ETF,XMKO,LU0292100046,ETF,EUR
Xtrackers MSCI Malaysia UCITS 1C ETF,XCS3,LU0514694370,ETF,EUR
Xtrackers MSCI Malaysia UCITS 1C ETF,XCS3,LU0514694370,ETF,USD
Xtrackers MSCI Malaysia UCITS 1C ETF,XCX3,LU0514694370,ETF,GBX
Xtrackers MSCI Malaysia UCITS 1C ETF,XCS3,LU0514694370,ETF,EUR
Xtrackers MSCI Mexico UCITS 1C ETF,D5BI,LU0476289466,ETF,EUR
Xtrackers MSCI Mexico UCITS 1C ETF,XMEX,LU0476289466,ETF,CHF
Xtrackers MSCI Mexico UCITS 1C ETF,XMES,LU0476289466,ETF,USD
Xtrackers MSCI Mexico UCITS 1C ETF,XMEX,LU0476289466,ETF,GBX
Xtrackers MSCI Mexico UCITS 1C ETF,XMEX,LU0476289466,ETF,EUR
Xtrackers MSCI Mexico UCITS 1C ETF,D5BI,LU0476289466,ETF,EUR
Xtrackers MSCI Next Generation Internet Innovation UCITS ETF,XNGI,IE000XOQ9TK4,ETF,EUR
Xtrackers MSCI Next Generation Internet Innovation UCITS ETF,XNGI,IE000XOQ9TK4,ETF,EUR
Xtrackers MSCI Next Generation Internet Innovation UCITS ETF,XNGI,IE000XOQ9TK4,ETF,EUR
Xtrackers MSCI Nordic UCITS 1D ETF,XDN0,IE00B9MRHC27,ETF,EUR
Xtrackers MSCI Nordic UCITS 1D ETF,XDN0,IE00B9MRHC27,ETF,EUR
Xtrackers MSCI North America High Dividend Yield UCITS 1C ETF,XDND,IE00BH361H73,ETF,EUR
Xtrackers MSCI North America High Dividend Yield UCITS 1C ETF,XDND,IE00BH361H73,ETF,EUR
